Dato klokke,kWh pris
2022-05-01 00:00:00,"249,7850"
2022-05-01 01:00:00,"240,0325"
2022-05-01 02:00:00,"238,0625"
2022-05-01 03:00:00,"238,1625"
2022-05-01 04:00:00,"238,7813"
2022-05-01 05:00:00,"242,2263"
2022-05-01 06:00:00,"239,6613"
2022-05-01 07:00:00,"238,3225"
2022-05-01 08:00:00,"235,3125"
2022-05-01 09:00:00,"232,5613"
2022-05-01 10:00:00,"226,9725"
2022-05-01 11:00:00,"225,7088"
2022-05-01 12:00:00,"223,6888"
2022-05-01 13:00:00,"210,5538"
2022-05-01 14:00:00,"202,1275"
2022-05-01 15:00:00,"210,6538"
2022-05-01 16:00:00,"226,0675"
2022-05-01 17:00:00,"235,3863"
2022-05-01 18:00:00,"247,7775"
2022-05-01 19:00:00,"262,6850"
2022-05-01 20:00:00,"271,4450"
2022-05-01 21:00:00,"272,4613"
2022-05-01 22:00:00,"269,7975"
2022-05-01 23:00:00,"259,3138"
2022-05-02 00:00:00,"248,0500"
2022-05-02 01:00:00,"243,1675"
2022-05-02 02:00:00,"241,2475"
2022-05-02 03:00:00,"240,1450"
2022-05-02 04:00:00,"243,2300"
2022-05-02 05:00:00,"251,8425"
2022-05-02 06:00:00,"264,2950"
2022-05-02 07:00:00,"279,2275"
2022-05-02 08:00:00,"296,0788"
2022-05-02 09:00:00,"266,3150"
2022-05-02 10:00:00,"252,7213"
2022-05-02 11:00:00,"244,1225"
2022-05-02 12:00:00,"243,0563"
2022-05-02 13:00:00,"243,0438"
2022-05-02 14:00:00,"239,9588"
2022-05-02 15:00:00,"239,2275"
2022-05-02 16:00:00,"245,4238"
2022-05-02 17:00:00,"255,1500"
2022-05-02 18:00:00,"264,0600"
2022-05-02 19:00:00,"268,3850"
2022-05-02 20:00:00,"269,0038"
2022-05-02 21:00:00,"272,1638"
2022-05-02 22:00:00,"263,1925"
2022-05-02 23:00:00,"258,4713"
2022-05-03 00:00:00,"247,6100"
2022-05-03 01:00:00,"239,4363"
2022-05-03 02:00:00,"235,2738"
2022-05-03 03:00:00,"236,6125"
2022-05-03 04:00:00,"239,3125"
2022-05-03 05:00:00,"246,0000"
2022-05-03 06:00:00,"263,3763"
2022-05-03 07:00:00,"267,2288"
2022-05-03 08:00:00,"284,8538"
2022-05-03 09:00:00,"274,9950"
2022-05-03 10:00:00,"255,1400"
2022-05-03 11:00:00,"249,7525"
2022-05-03 12:00:00,"247,6963"
2022-05-03 13:00:00,"247,6475"
2022-05-03 14:00:00,"247,5975"
2022-05-03 15:00:00,"247,5975"
2022-05-03 16:00:00,"248,2788"
2022-05-03 17:00:00,"262,7700"
2022-05-03 18:00:00,"296,0000"
2022-05-03 19:00:00,"323,9663"
2022-05-03 20:00:00,"324,3138"
2022-05-03 21:00:00,"314,1575"
2022-05-03 22:00:00,"303,8900"
2022-05-03 23:00:00,"274,7588"
2022-05-04 00:00:00,"259,9038"
2022-05-04 01:00:00,"250,9038"
2022-05-04 02:00:00,"248,6938"
2022-05-04 03:00:00,"249,6625"
2022-05-04 04:00:00,"252,1325"
2022-05-04 05:00:00,"264,0125"
2022-05-04 06:00:00,"296,4488"
2022-05-04 07:00:00,"297,2813"
2022-05-04 08:00:00,"323,2875"
2022-05-04 09:00:00,"294,8725"
2022-05-04 10:00:00,"277,6425"
2022-05-04 11:00:00,"259,8038"
2022-05-04 12:00:00,"254,0325"
2022-05-04 13:00:00,"250,9413"
2022-05-04 14:00:00,"247,6638"
2022-05-04 15:00:00,"250,7175"
2022-05-04 16:00:00,"255,4838"
2022-05-04 17:00:00,"270,9638"
2022-05-04 18:00:00,"300,3838"
2022-05-04 19:00:00,"331,3188"
2022-05-04 20:00:00,"338,2588"
2022-05-04 21:00:00,"296,6975"
2022-05-04 22:00:00,"280,5725"
2022-05-04 23:00:00,"272,6900"
2022-05-05 00:00:00,"266,3638"
2022-05-05 01:00:00,"254,0050"
2022-05-05 02:00:00,"250,2650"
2022-05-05 03:00:00,"248,9525"
2022-05-05 04:00:00,"251,9613"
2022-05-05 05:00:00,"259,8988"
2022-05-05 06:00:00,"275,5775"
2022-05-05 07:00:00,"315,8613"
2022-05-05 08:00:00,"321,6200"
2022-05-05 09:00:00,"303,5525"
2022-05-05 10:00:00,"282,0413"
2022-05-05 11:00:00,"278,5000"
2022-05-05 12:00:00,"269,3363"
2022-05-05 13:00:00,"258,1163"
2022-05-05 14:00:00,"254,0663"
2022-05-05 15:00:00,"252,5188"
2022-05-05 16:00:00,"255,9363"
2022-05-05 17:00:00,"271,2675"
2022-05-05 18:00:00,"284,6050"
2022-05-05 19:00:00,"297,2613"
2022-05-05 20:00:00,"297,2613"
2022-05-05 21:00:00,"295,8863"
